user_id,profile
7155,"Movie Charlotte's Web Charles A. Nichols, Iwao Takamoto Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden United States November 23, 2019 1973 G 94 min Children & Family Movies, Classic Movies Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story."
2004,"Movie Bawarchi Hrishikesh Mukherjee Rajesh Khanna, A.K. Hangal, Durga Khote, Jaya Bhaduri, Kali Bannerjee, Usha Kiran, Asrani, Paintal India December 31, 2019 1972 TV-PG 125 min Classic Movies, Comedies, Dramas A dysfunctional middle-class family is transformed by the attentions of their talented new chef â until he vanishes along with their valuable jewels."
4107,"Movie 50 First Dates Peter Segal Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph United States December 1, 2020 2004 PG-13 99 min Comedies, Romantic Movies After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day."
3469,"Movie Bebe's Kids Bruce W. Smith Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter United States November 20, 2019 1992 PG-13 73 min Comedies When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids."
6823,"Movie Bad Boys Michael Bay Will Smith, Martin Lawrence, TÃ©a Leoni, TchÃ©ky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso United States October 1, 2019 1995 R 119 min Action & Adventure, Comedies In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin."
263,"Movie Coach Carter Thomas Carter Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan United States, Germany January 1, 2020 2005 PG-13 137 min Dramas, Sports Movies Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance."
7010,"Movie Boom Kaizad Gustad Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani India March 1, 2018 2003 TV-MA 79 min Action & Adventure, Dramas, International Movies Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds."
8987,"Movie Catch Me If You Can Steven Spielberg Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin United States, Canada August 1, 2021 2002 PG-13 142 min Dramas An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit."
562,"Movie Bawarchi Hrishikesh Mukherjee Rajesh Khanna, A.K. Hangal, Durga Khote, Jaya Bhaduri, Kali Bannerjee, Usha Kiran, Asrani, Paintal India December 31, 2019 1972 TV-PG 125 min Classic Movies, Comedies, Dramas A dysfunctional middle-class family is transformed by the attentions of their talented new chef â until he vanishes along with their valuable jewels."
149,"Movie 50 First Dates Peter Segal Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph United States December 1, 2020 2004 PG-13 99 min Comedies, Romantic Movies After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day."
